"Springfield, Wisconsin (Dane County)",town,"http://dbpedia.org/resource/Springfield,_Dane_County,_Wisconsin",-89.5455551147,43.1658325195
"Springfield, Wisconsin (Jackson County)",town[4],"http://dbpedia.org/resource/Springfield,_Jackson_County,_Wisconsin",-91.1083297729,44.2888870239
"Springfield, Wisconsin (Marquette County)",town,"http://dbpedia.org/resource/Springfield,_Marquette_County,_Wisconsin",-89.5325012207,43.9469451904
"Springfield, Wisconsin (St. Croix County)",town,"http://dbpedia.org/resource/Springfield,_St._Croix_County,_Wisconsin",-92.1863861084,44.9808349609
"Springfield, Wisconsin (Walworth County)",town,"http://dbpedia.org/resource/Springfield,_Walworth_County,_Wisconsin",-88.4119415283,42.6416664124
"Franklin, Alabama",town,"http://dbpedia.org/resource/Franklin,_Alabama",-85.8027801514,32.4552764893
"Franklin, Arkansas",town,"http://dbpedia.org/resource/Franklin,_Arkansas",-91.7663879395,36.17527771
"Franklin, Connecticut",town,"http://dbpedia.org/resource/Franklin,_Connecticut",-72.1425018311,41.619720459
"Franklin, Georgia",city,"http://dbpedia.org/resource/Franklin,_Georgia",-85.0984039307,33.2797241211
"Franklin, Idaho",city,"http://dbpedia.org/resource/Franklin,_Idaho",-111.8030548096,42.0161094666
"Franklin, Illinois",village,"http://dbpedia.org/resource/Franklin,_Illinois",-90.0472259521,39.6202774048
"Franklin, Indiana",city,"http://dbpedia.org/resource/Franklin,_Indiana",-86.0566635132,39.4897232056
"Franklin, Iowa",city,"http://dbpedia.org/resource/Franklin,_Iowa",-91.5119476318,40.6663894653
"Franklin, Kansas",town,"http://dbpedia.org/resource/Franklin,_Kansas",-94.7058334351,37.5263900757
"Franklin, Kentucky",city,"http://dbpedia.org/resource/Franklin,_Kentucky",-86.5774993896,36.7224998474
"Franklin, Louisiana",town,"http://dbpedia.org/resource/Franklin,_Louisiana",-91.5083312988,29.7916660309
"Franklin, Maine",town,"http://dbpedia.org/resource/Franklin,_Maine",-68.2322235107,44.5869445801
"Franklin, Massachusetts",city,"http://dbpedia.org/resource/Franklin,_Massachusetts",-71.4000015259,42.0833320618
"Franklin, Michigan",village,"http://dbpedia.org/resource/Franklin,_Michigan",-83.3038864136,42.5200004578
"Franklin, Minnesota",city,"http://dbpedia.org/resource/Franklin,_Minnesota",-94.8830566406,44.5280570984
"Franklin, Missouri",city,"http://dbpedia.org/resource/Franklin,_Missouri",-92.7536087036,39.011390686
"Franklin, Nebraska",city,"http://dbpedia.org/resource/Franklin,_Nebraska",-98.9530563354,40.0952758789
"Franklin, New Hampshire",city,"http://dbpedia.org/resource/Franklin,_New_Hampshire",-71.6569442749,43.4441680908
"Franklin, New Jersey",borough,"http://dbpedia.org/resource/Franklin,_New_Jersey",-74.5886383057,41.108997345
"Franklin, Delaware County, New York",village,"http://dbpedia.org/resource/Franklin_(village),_New_York",-75.1658325195,42.3405570984
"Franklin, Franklin County, New York",town,"http://dbpedia.org/resource/Franklin,_Franklin_County,_New_York",-74.0605545044,44.5191650391
"Franklin, North Carolina",county,"http://dbpedia.org/resource/Franklin_County,_North_Carolina",-78.2799987793,36.0800018311
"Franklin County, Ohio",county,"http://dbpedia.org/resource/Franklin_County,_Ohio",-83.0100021362,39.9700012207
"Franklin, North Carolina",town,"http://dbpedia.org/resource/Franklin,_North_Carolina",-83.3816680908,35.1811103821
"Franklin, Ohio",city,"http://dbpedia.org/resource/Franklin,_Ohio",-84.3016662598,39.5613899231
"Franklin, Cambria County, Pennsylvania",borough,"http://dbpedia.org/resource/Franklin,_Cambria_County,_Pennsylvania",-78.881942749,40.3430557251
"Franklin, Venango County, Pennsylvania",city,"http://dbpedia.org/resource/Franklin,_Pennsylvania",-79.8313903809,41.3977775574
"Franklin, Tennessee",city,"http://dbpedia.org/resource/Franklin,_Tennessee",-86.8574981689,35.9291648865
"Franklin, Texas",city,"http://dbpedia.org/resource/Franklin,_Texas",-96.486114502,31.0261116028
"Franklin, Vermont",town,"http://dbpedia.org/resource/Franklin,_Vermont",-72.8886108398,44.9724998474
"Franklin, Virginia",city,"http://dbpedia.org/resource/Franklin,_Virginia",-76.930557251,36.6747207642
"Franklin, West Virginia",town,"http://dbpedia.org/resource/Franklin,_West_Virginia",-79.3316650391,38.6474990845
"Franklin, Wisconsin",city,"http://dbpedia.org/resource/Franklin,_Milwaukee_County,_Wisconsin",-88.0022201538,42.8991661072
"Franklin, Louisiana",Parish,"http://dbpedia.org/resource/Franklin,_Louisiana",-91.5083312988,29.7916660309
"Greenville, Alabama",city,"http://dbpedia.org/resource/Greenville,_Alabama",-86.6275024414,31.831111908
"Greenville, California",CDP,"http://dbpedia.org/resource/Greenville,_California",-120.9513854981,40.1399993896
"Greenville, Delaware",CDP,"http://dbpedia.org/resource/Greenville,_Delaware",-75.5966644287,39.7750015259
"Greenville, Florida",town,"http://dbpedia.org/resource/Greenville,_Florida",-83.6333312988,30.4666671753
"Greenville, Georgia",city,"http://dbpedia.org/resource/Greenville,_Georgia",-84.7136077881,33.0277786255
"Greenville, Illinois",city,"http://dbpedia.org/resource/Greenville,_Illinois",-89.4000015259,38.8833351135
"Greenville, Indiana",town,"http://dbpedia.org/resource/Greenville,_Indiana",-85.988609314,38.3727760315
"Greenville, Iowa",city,"http://dbpedia.org/resource/Greenville,_Iowa",-95.1455535889,43.0161094666
"Greenville, Kentucky",city,"http://dbpedia.org/resource/Greenville,_Kentucky",-87.1763916016,37.2072219849
"Greenville, Maine",town,"http://dbpedia.org/resource/Greenville,_Maine",-69.5905532837,45.4594459534
"Greenville, Michigan",city,"http://dbpedia.org/resource/Greenville,_Michigan",-85.25,43.1833343506
"Greenville, Mississippi",city,"http://dbpedia.org/resource/Greenville,_Mississippi",-91.0483322144,33.3986129761
"Greenville, Missouri",city,"http://dbpedia.org/resource/Greenville,_Missouri",-90.4483337402,37.1272239685
